id,time,epoch_id,validator_slot,validator_address,stake_action,unstake_action,staked_amount
0x0162f28862f9ba1733063239354db3d69682d586a93bdb98a83c32b6dc07b1b2,1,254,2,0x864c651958094732a1227134cf7cab7587f05a399398804552553fbc01dba4e7,1,0,40000
0x0162f28862f9ba1733063239354db3d69682d586a93bdb98a83c32b6dc07b1b2,2,254,1,0x2762540744dfaeda69885db1f8e85c8c02e471ce41914aea9a85b3e6d63996a5,1,0,40000
0x0162f28862f9ba1733063239354db3d69682d586a93bdb98a83c32b6dc07b1b2,3,265,2,0x864c651958094732a1227134cf7cab7587f05a399398804552553fbc01dba4e7,0,1,40000
0x0162f28862f9ba1733063239354db3d69682d586a93bdb98a83c32b6dc07b1b2,4,265,1,0x2762540744dfaeda69885db1f8e85c8c02e471ce41914aea9a85b3e6d63996a5,0,1,40000
0x0162f28862f9ba1733063239354db3d69682d586a93bdb98a83c32b6dc07b1b2,5,265,2,0x864c651958094732a1227134cf7cab7587f05a399398804552553fbc01dba4e7,1,0,46000
0x0162f28862f9ba1733063239354db3d69682d586a93bdb98a83c32b6dc07b1b2,6,265,1,0x2762540744dfaeda69885db1f8e85c8c02e471ce41914aea9a85b3e6d63996a5,1,0,46000
0x0162f28862f9ba1733063239354db3d69682d586a93bdb98a83c32b6dc07b1b2,7,278,2,0x864c651958094732a1227134cf7cab7587f05a399398804552553fbc01dba4e7,0,1,46000
0x0162f28862f9ba1733063239354db3d69682d586a93bdb98a83c32b6dc07b1b2,8,278,1,0x2762540744dfaeda69885db1f8e85c8c02e471ce41914aea9a85b3e6d63996a5,0,1,46000
0x0162f28862f9ba1733063239354db3d69682d586a93bdb98a83c32b6dc07b1b2,9,279,2,0x864c651958094732a1227134cf7cab7587f05a399398804552553fbc01dba4e7,1,0,46350
0x0162f28862f9ba1733063239354db3d69682d586a93bdb98a83c32b6dc07b1b2,10,279,1,0x2762540744dfaeda69885db1f8e85c8c02e471ce41914aea9a85b3e6d63996a5,1,0,46350
0x0162f28862f9ba1733063239354db3d69682d586a93bdb98a83c32b6dc07b1b2,11,302,1,0x2762540744dfaeda69885db1f8e85c8c02e471ce41914aea9a85b3e6d63996a5,0,1,46350
0x0162f28862f9ba1733063239354db3d69682d586a93bdb98a83c32b6dc07b1b2,12,302,2,0x864c651958094732a1227134cf7cab7587f05a399398804552553fbc01dba4e7,0,1,46350
0x0162f28862f9ba1733063239354db3d69682d586a93bdb98a83c32b6dc07b1b2,13,302,1,0x2762540744dfaeda69885db1f8e85c8c02e471ce41914aea9a85b3e6d63996a5,1,0,46500
0x0162f28862f9ba1733063239354db3d69682d586a93bdb98a83c32b6dc07b1b2,14,321,1,0x2762540744dfaeda69885db1f8e85c8c02e471ce41914aea9a85b3e6d63996a5,0,1,46500
0x0162f28862f9ba1733063239354db3d69682d586a93bdb98a83c32b6dc07b1b2,15,321,2,0x864c651958094732a1227134cf7cab7587f05a399398804552553fbc01dba4e7,1,0,46750
0x0162f28862f9ba1733063239354db3d69682d586a93bdb98a83c32b6dc07b1b2,16,321,1,0x2762540744dfaeda69885db1f8e85c8c02e471ce41914aea9a85b3e6d63996a5,1,0,46750
0x0162f28862f9ba1733063239354db3d69682d586a93bdb98a83c32b6dc07b1b2,17,356,2,0x864c651958094732a1227134cf7cab7587f05a399398804552553fbc01dba4e7,0,1,46750
0x0162f28862f9ba1733063239354db3d69682d586a93bdb98a83c32b6dc07b1b2,18,356,1,0x2762540744dfaeda69885db1f8e85c8c02e471ce41914aea9a85b3e6d63996a5,0,1,46750
0x0162f28862f9ba1733063239354db3d69682d586a93bdb98a83c32b6dc07b1b2,19,356,1,0x2762540744dfaeda69885db1f8e85c8c02e471ce41914aea9a85b3e6d63996a5,1,0,94400
0x0162f28862f9ba1733063239354db3d69682d586a93bdb98a83c32b6dc07b1b2,20,376,1,0x2762540744dfaeda69885db1f8e85c8c02e471ce41914aea9a85b3e6d63996a5,0,1,94400
0x0162f28862f9ba1733063239354db3d69682d586a93bdb98a83c32b6dc07b1b2,21,376,1,0x2762540744dfaeda69885db1f8e85c8c02e471ce41914aea9a85b3e6d63996a5,1,0,95000
0x02859ae89aa31a8af46e30f98575275f997660bccb2a40c0856b467fa4a74750,1,0,2,0x303db99c56283dba10c014f90fce2691cba6e7ea661fd3331d95b6e76ada9a19,1,0,25740
0x02859ae89aa31a8af46e30f98575275f997660bccb2a40c0856b467fa4a74750,2,1,2,0x303db99c56283dba10c014f90fce2691cba6e7ea661fd3331d95b6e76ada9a19,0,1,25740
0x02859ae89aa31a8af46e30f98575275f997660bccb2a40c0856b467fa4a74750,3,1,1,0x2762540744dfaeda69885db1f8e85c8c02e471ce41914aea9a85b3e6d63996a5,1,0,25740
0x02859ae89aa31a8af46e30f98575275f997660bccb2a40c0856b467fa4a74750,4,4,3,0x4d2f2bcffd40e168529406dff721dfb58cabbdec476bcb417f9500cb09072a62,1,0,3092
0x02859ae89aa31a8af46e30f98575275f997660bccb2a40c0856b467fa4a74750,5,30,1,0x2762540744dfaeda69885db1f8e85c8c02e471ce41914aea9a85b3e6d63996a5,0,1,25740
0x02859ae89aa31a8af46e30f98575275f997660bccb2a40c0856b467fa4a74750,6,30,3,0x4d2f2bcffd40e168529406dff721dfb58cabbdec476bcb417f9500cb09072a62,1,0,79939
0x02859ae89aa31a8af46e30f98575275f997660bccb2a40c0856b467fa4a74750,7,31,3,0x4d2f2bcffd40e168529406dff721dfb58cabbdec476bcb417f9500cb09072a62,1,0,5450
0x02859ae89aa31a8af46e30f98575275f997660bccb2a40c0856b467fa4a74750,8,31,3,0x4d2f2bcffd40e168529406dff721dfb58cabbdec476bcb417f9500cb09072a62,0,1,5450
0x02859ae89aa31a8af46e30f98575275f997660bccb2a40c0856b467fa4a74750,9,31,3,0x4d2f2bcffd40e168529406dff721dfb58cabbdec476bcb417f9500cb09072a62,1,0,16741
0x02859ae89aa31a8af46e30f98575275f997660bccb2a40c0856b467fa4a74750,10,38,4,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,1,0,6469
0x02859ae89aa31a8af46e30f98575275f997660bccb2a40c0856b467fa4a74750,11,43,4,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,1,0,7084
0x02859ae89aa31a8af46e30f98575275f997660bccb2a40c0856b467fa4a74750,12,149,3,0x4d2f2bcffd40e168529406dff721dfb58cabbdec476bcb417f9500cb09072a62,0,1,3092
0x02859ae89aa31a8af46e30f98575275f997660bccb2a40c0856b467fa4a74750,13,149,3,0x4d2f2bcffd40e168529406dff721dfb58cabbdec476bcb417f9500cb09072a62,0,1,16741
0x02859ae89aa31a8af46e30f98575275f997660bccb2a40c0856b467fa4a74750,14,149,3,0x4d2f2bcffd40e168529406dff721dfb58cabbdec476bcb417f9500cb09072a62,0,1,79939
0x02859ae89aa31a8af46e30f98575275f997660bccb2a40c0856b467fa4a74750,15,149,4,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,1,0,104180
0x02859ae89aa31a8af46e30f98575275f997660bccb2a40c0856b467fa4a74750,16,162,4,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,1,0,8549
0x02859ae89aa31a8af46e30f98575275f997660bccb2a40c0856b467fa4a74750,17,246,4,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,0,1,7084
0x02859ae89aa31a8af46e30f98575275f997660bccb2a40c0856b467fa4a74750,18,246,4,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,0,1,104180
0x02859ae89aa31a8af46e30f98575275f997660bccb2a40c0856b467fa4a74750,19,246,4,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,0,1,6469
0x02859ae89aa31a8af46e30f98575275f997660bccb2a40c0856b467fa4a74750,20,246,4,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,0,1,8549
0x02859ae89aa31a8af46e30f98575275f997660bccb2a40c0856b467fa4a74750,21,246,5,0x9715544f0255a9bd0c0dc178b5bc8a78fd281b35db3041d72b91aff57f3beb10,1,0,131217
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,1,137,1,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,1,0,1050
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,2,137,3,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,1,0,1074
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,3,158,1,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,0,1,1050
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,4,158,3,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,0,1,1074
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,5,158,3,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,1,0,2139
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,6,182,3,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,0,1,2139
