change_group,rank_in_group,validator_address,change_epoch,old_fee,new_fee,fee_delta,activity_epoch,event_type,event_count,event_amount,relative_epoch,panel
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,1,Stake,1,4776923.0,-9,"decrease 1: 0x1e..d01a | epoch 10
20.0% -> 10.0% (-10.00)"
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,2,Stake,22,16993598.0,-8,"decrease 1: 0x1e..d01a | epoch 10
20.0% -> 10.0% (-10.00)"
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,2,Unstake,1,200000.0,-8,"decrease 1: 0x1e..d01a | epoch 10
20.0% -> 10.0% (-10.00)"
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,3,Stake,38,863194.0,-7,"decrease 1: 0x1e..d01a | epoch 10
20.0% -> 10.0% (-10.00)"
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,4,Stake,27,376550.0,-6,"decrease 1: 0x1e..d01a | epoch 10
20.0% -> 10.0% (-10.00)"
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,5,Stake,16,5376863.0,-5,"decrease 1: 0x1e..d01a | epoch 10
20.0% -> 10.0% (-10.00)"
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,5,Unstake,4,190900.0,-5,"decrease 1: 0x1e..d01a | epoch 10
20.0% -> 10.0% (-10.00)"
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,6,Stake,19,1829928.0,-4,"decrease 1: 0x1e..d01a | epoch 10
20.0% -> 10.0% (-10.00)"
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,6,Unstake,4,28905.0,-4,"decrease 1: 0x1e..d01a | epoch 10
20.0% -> 10.0% (-10.00)"
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,7,Stake,27,439372.0,-3,"decrease 1: 0x1e..d01a | epoch 10
20.0% -> 10.0% (-10.00)"
