change_group,rank_in_group,validator_address,change_epoch,old_fee,new_fee,fee_delta,activity_epoch,event_type,event_count
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,1,Stake,1
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,2,Stake,22
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,2,Unstake,1
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,3,Stake,38
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,4,Stake,27
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,5,Stake,16
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,5,Unstake,4
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,6,Stake,19
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,6,Unstake,4
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,7,Stake,27
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,7,Unstake,2
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,8,Stake,34
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,8,Unstake,10
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,9,Unstake,12
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,10,Stake,1
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,10,Unstake,4
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,11,Stake,2
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,11,Unstake,5
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,12,Stake,5
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,12,Unstake,2
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,13,Stake,12
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,13,Unstake,1
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,14,Stake,24
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,14,Unstake,3
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,15,Stake,27
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,15,Unstake,2
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,16,Unstake,4
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,17,Unstake,17
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,18,Stake,5
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,18,Unstake,5
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,19,Stake,1
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,20,Stake,1
decrease,1,0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,10,20.0,10.0,-10.0,20,Unstake,4
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,179,Stake,2
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,179,Unstake,1
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,180,Stake,1
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,181,Stake,3
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,182,Stake,3
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,182,Unstake,2
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,183,Stake,1
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,183,Unstake,1
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,184,Stake,2
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,187,Stake,3
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,188,Stake,2
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,188,Unstake,2
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,189,Stake,1
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,190,Stake,3
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,191,Stake,5
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,192,Stake,1
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,193,Stake,1
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,194,Stake,1
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,195,Stake,1
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,196,Stake,32
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,196,Unstake,27
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,197,Stake,20
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,197,Unstake,18
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,198,Stake,13
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,198,Unstake,10
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,199,Stake,8
decrease,2,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,189,6.9,0.69,-6.21,199,Unstake,5
decrease,3,0xd43ab2195b9db5e3cdbd7b12c8fcd1e74d7ca1a1d88e5fee1f301ddb683033ba,353,3.14,0.0,-3.14,345,Stake,1
decrease,3,0xd43ab2195b9db5e3cdbd7b12c8fcd1e74d7ca1a1d88e5fee1f301ddb683033ba,353,3.14,0.0,-3.14,348,Unstake,2
