epoch_id,validator_group,member_count,voting_power,delegated_stake,nominal_fee,network_effective_fee,identity_adjusted_effective_fee
5,PANDABYTE,1,0.45,5873354,0.0,0.0,0.0
6,PANDABYTE,1,0.68,9678117,0.0,0.0,0.0
7,PANDABYTE,1,1.23,18136904,0.0,0.0,0.0
8,PANDABYTE,1,1.63,25375968,0.0,0.0,0.0
9,PANDABYTE,1,2.04,33139601,0.0,0.0,0.0
10,PANDABYTE,1,2.78,45940350,0.0,0.0,0.0
11,PANDABYTE,1,2.91,48733415,0.0,0.0,0.0
12,PANDABYTE,1,3.24,54936625,0.0,0.0,0.0
13,PANDABYTE,1,3.71,63141154,0.0,0.0,0.0
14,PANDABYTE,1,3.84,66176610,0.0,0.0,0.0
15,PANDABYTE,1,3.96,70164042,0.0,0.0,0.0
16,PANDABYTE,1,4.03,71967034,0.0,0.0,0.0
17,PANDABYTE,1,3.92,74533804,0.0,0.0,0.0
18,PANDABYTE,1,3.96,75749091,0.0,0.0,0.0
19,PANDABYTE,1,3.99,77110708,0.0,0.0,0.0
20,PANDABYTE,1,4.1,79588045,0.0,0.0,0.0
21,PANDABYTE,1,4.37,85061076,0.9,0.9,0.9
22,PANDABYTE,1,4.41,86375903,0.9,0.9,0.9
23,PANDABYTE,1,4.49,88335114,0.9,0.9,0.9
24,PANDABYTE,1,4.51,88817375,0.9,0.9,0.9
25,PANDABYTE,1,4.56,89828498,0.9,0.9,0.9
26,PANDABYTE,1,4.57,90255500,0.9,0.9,0.9
27,PANDABYTE,1,4.66,92122342,0.9,0.9,0.9
28,PANDABYTE,1,4.69,92849585,0.9,0.9,0.9
29,PANDABYTE,1,4.61,91218254,0.9,0.9,0.9
30,PANDABYTE,1,4.35,86228972,0.9,0.9,0.9
31,PANDABYTE,1,4.36,86543695,0.9,0.9,0.9
32,PANDABYTE,1,4.41,87777260,0.9,0.9,0.9
33,PANDABYTE,1,4.42,88153800,0.9,0.9,0.9
34,PANDABYTE,1,4.75,94959151,0.9,0.9,0.9
35,PANDABYTE,1,4.8,95928038,0.9,0.9,0.9
36,PANDABYTE,1,5.24,105147249,0.9,0.9,0.9
37,PANDABYTE,1,5.57,111866933,0.9,0.9,0.9
38,PANDABYTE,1,5.64,113650528,0.9,0.9,0.9
39,PANDABYTE,1,5.85,119480676,0.9,0.9,0.9
40,PANDABYTE,1,5.93,121281649,0.9,0.9,0.9
41,PANDABYTE,1,6.0,122868040,0.9,0.9,0.9
42,PANDABYTE,1,6.05,124078234,0.8,0.8,0.8
43,PANDABYTE,1,6.12,125165685,0.8,0.8,0.8
44,PANDABYTE,1,6.08,124420984,0.8,0.8,0.8
45,PANDABYTE,1,6.15,126432213,0.8,0.8,0.8
46,PANDABYTE,1,6.2,127726061,0.8,0.8,0.8
47,PANDABYTE,1,6.33,130343461,0.8,0.8,0.8
48,PANDABYTE,1,6.35,130782264,0.8,0.8,0.8
49,PANDABYTE,1,6.37,131530808,0.8,0.8,0.8
50,PANDABYTE,1,6.38,131806233,0.8,0.8,0.8
51,PANDABYTE,1,6.4,132156479,0.8,0.8,0.8
52,PANDABYTE,1,6.52,134535348,0.8,0.8,0.8
53,PANDABYTE,1,6.52,134790546,0.8,0.8,0.8
54,PANDABYTE,1,6.53,134949697,0.8,0.8,0.8
55,PANDABYTE,1,6.52,135034875,0.8,0.8,0.8
56,PANDABYTE,1,6.46,134010380,0.8,0.8,0.8
57,PANDABYTE,1,6.49,134692548,0.8,0.8,0.8
58,PANDABYTE,1,6.5,135155328,0.8,0.8,0.8
59,PANDABYTE,1,6.5,135229664,0.8,0.8,0.8
60,PANDABYTE,1,6.51,135416999,0.8,0.8,0.8
61,PANDABYTE,1,6.52,135689461,0.8,0.8,0.8
62,PANDABYTE,1,6.52,135806420,0.8,0.8,0.8
63,PANDABYTE,1,6.53,136006299,0.8,0.8,0.8
64,PANDABYTE,1,6.51,136008252,0.8,0.8,0.8
65,PANDABYTE,1,6.51,136132068,0.8,0.8,0.8
66,PANDABYTE,1,6.51,136147229,0.8,0.8,0.8
67,PANDABYTE,1,6.53,135797784,0.8,0.8,0.8
68,PANDABYTE,1,6.59,136075368,0.8,0.8,0.8
69,PANDABYTE,1,6.56,135816221,0.8,0.8,0.8
70,PANDABYTE,1,6.53,135363348,0.8,0.8,0.8
71,PANDABYTE,1,6.48,135538516,0.8,0.8,0.8
72,PANDABYTE,1,6.62,142438443,0.8,0.8,0.8
73,PANDABYTE,1,6.57,141460565,0.8,0.8,0.8
74,PANDABYTE,1,6.49,139751507,0.8,0.8,0.8
75,PANDABYTE,1,6.49,139805325,0.8,0.8,0.8
76,PANDABYTE,1,6.48,139858512,0.8,0.8,0.8
77,PANDABYTE,1,6.48,139926047,0.8,0.8,0.8
78,PANDABYTE,1,6.46,139429314,0.8,0.8,0.8
79,PANDABYTE,1,6.47,139680186,0.8,0.8,0.8
80,PANDABYTE,1,6.45,139490247,0.8,0.8,0.8
81,PANDABYTE,1,6.46,139740070,0.8,0.8,0.8
82,PANDABYTE,1,6.48,140361735,0.8,0.8,0.8
83,PANDABYTE,1,6.49,140752397,0.8,0.8,0.8
84,PANDABYTE,1,6.47,140341253,0.8,0.8,0.8
85,PANDABYTE,1,6.51,140426259,0.8,0.8,0.8
86,PANDABYTE,1,6.52,140622702,0.8,0.8,0.8
87,PANDABYTE,1,6.51,140656467,0.8,0.8,0.8
88,PANDABYTE,1,6.5,140692498,0.8,0.8,0.8
89,PANDABYTE,1,6.48,140489670,0.8,0.8,0.8
90,PANDABYTE,1,6.5,141049835,0.8,0.8,0.8
91,PANDABYTE,1,6.52,141490560,0.8,0.8,0.8
92,PANDABYTE,1,6.52,141532685,0.8,0.8,0.8
93,PANDABYTE,1,6.51,141513452,0.8,0.8,0.8
94,PANDABYTE,1,6.44,140129056,0.8,0.8,0.8
95,PANDABYTE,1,6.44,140185798,0.8,0.8,0.8
96,PANDABYTE,1,6.44,140274284,0.8,0.8,0.8
97,PANDABYTE,1,6.44,140312565,0.8,0.8,0.8
98,PANDABYTE,1,6.43,140253882,0.8,0.8,0.8
99,PANDABYTE,1,6.43,140347229,0.8,0.8,0.8
100,PANDABYTE,1,7.39,163256233,0.8,0.8,0.8
101,PANDABYTE,1,7.37,163146536,0.8,0.8,0.8
102,PANDABYTE,1,7.21,162301188,0.8,0.8,0.8
103,PANDABYTE,2,7.35,164573429,0.7896333885101221,0.7896333885101221,0.7896333885101221
104,PANDABYTE,2,7.33,164180433,0.7887195960800031,0.7887195960800031,0.7887195960800031
105,PANDABYTE,2,7.35,164852983,0.7795302266383618,0.7795302266383618,0.7795302266383618
106,PANDABYTE,2,7.5,168196741,0.7632572286284667,0.7632572286284667,0.7632572286284667
107,PANDABYTE,2,7.6,170622299,0.7478542016363289,0.7478542016363289,0.7478542016363289
108,PANDABYTE,2,7.6,171105489,0.7460453732141813,0.7460453732141813,0.7460453732141813
109,PANDABYTE,2,7.62,171532145,0.7462377247133475,0.7462377247133475,0.7462377247133475
110,PANDABYTE,2,7.6,171092069,0.7484562759013687,0.7484562759013687,0.7484562759013687
111,PANDABYTE,2,7.6,171173400,0.7482137715322591,0.7482137715322591,0.7482137715322591
112,PANDABYTE,2,7.59,171120404,0.7480919505075502,0.7480919505075502,0.7480919505075502
113,PANDABYTE,2,7.59,171204936,0.7479319217759002,0.7479319217759002,0.7479319217759002
114,PANDABYTE,2,7.53,169861996,0.7538842908686885,0.7538842908686885,0.7538842908686885
115,PANDABYTE,2,7.56,170826657,0.7543174482422845,0.7543174482422845,0.7543174482422845
116,PANDABYTE,2,7.55,170551038,0.7532412391415642,0.7532412391415642,0.7532412391415642
117,PANDABYTE,2,7.56,170706821,0.753215601150466,0.753215601150466,0.753215601150466
118,PANDABYTE,2,7.56,170779992,0.7532520132686269,0.7532520132686269,0.7532520132686269
119,PANDABYTE,2,7.59,170981959,0.7518654386220947,0.7518654386220947,0.7518654386220947
120,PANDABYTE,2,7.5,169105115,0.7597056162375692,0.7597056162375692,0.7597056162375692
121,PANDABYTE,2,7.51,169567767,0.7580079060662513,0.7580079060662513,0.7580079060662513
122,PANDABYTE,2,7.55,170831270,0.7522159426667027,0.7522159426667027,0.7522159426667027
123,PANDABYTE,2,7.69,173842360,0.7391906966748496,0.7391906966748496,0.7391906966748496
124,PANDABYTE,2,7.68,173937283,0.7383644919876091,0.7383644919876091,0.7383644919876091
125,PANDABYTE,2,7.67,173868752,0.7381580745457931,0.7381580745457931,0.7381580745457931
126,PANDABYTE,2,7.68,173926967,0.7376691390243124,0.7376691390243124,0.7376691390243124
127,PANDABYTE,2,7.69,174192506,0.737001689383813,0.737001689383813,0.737001689383813
128,PANDABYTE,2,7.69,174368330,0.736683139650417,0.736683139650417,0.736683139650417
129,PANDABYTE,2,7.8,174582113,0.7362196698810719,0.7362196698810719,0.7362196698810719
130,PANDABYTE,2,7.8,174691141,0.7361785106206388,0.7361785106206388,0.7361785106206388
131,PANDABYTE,2,7.81,174823383,0.735917126143246,0.735917126143246,0.735917126143246
132,PANDABYTE,2,7.81,174860304,0.7357408185679467,0.7357408185679467,0.7357408185679467
133,PANDABYTE,2,7.8,174819766,0.7,0.7,0.7
134,PANDABYTE,2,7.77,174693945,0.7,0.7,0.7
135,PANDABYTE,2,7.79,174782426,0.7,0.7,0.7
136,PANDABYTE,2,7.76,174967083,0.7,0.7,0.7
137,PANDABYTE,2,7.7,174994633,0.7,0.7,0.7
138,PANDABYTE,2,7.68,175181870,0.7,0.7,0.7
139,PANDABYTE,2,7.68,175466929,0.7,0.7,0.7
140,PANDABYTE,2,7.68,175595487,0.7,0.7,0.7
141,PANDABYTE,2,7.72,175994339,0.7,0.7,0.7
142,PANDABYTE,2,7.72,176218160,0.7,0.7,0.7
143,PANDABYTE,2,7.69,175939174,0.7,0.7,0.7
144,PANDABYTE,2,7.67,175558605,0.7,0.7,0.7
145,PANDABYTE,2,7.69,175800346,0.7,0.7,0.7
146,PANDABYTE,2,7.68,175697307,0.7,0.7,0.7
147,PANDABYTE,2,7.7,175981109,0.7,0.7,0.7
148,PANDABYTE,2,7.68,176042634,0.7,0.7,0.7
149,PANDABYTE,2,7.64,175058267,0.7,0.7,0.7
150,PANDABYTE,2,7.61,173838541,0.7,0.7,0.7
151,PANDABYTE,2,7.68,175097726,0.69,0.69,0.69
152,PANDABYTE,2,7.53,171752933,0.69,0.69,0.69
153,PANDABYTE,2,7.52,171821357,0.69,0.69,0.69
154,PANDABYTE,2,7.63,171747561,0.69,0.69,0.69
155,PANDABYTE,2,7.62,171756285,0.69,0.69,0.69
156,PANDABYTE,2,7.52,171215967,0.69,0.69,0.69
157,PANDABYTE,2,7.51,171285366,0.69,0.69,0.69
158,PANDABYTE,2,7.51,171763208,0.69,0.69,0.69
159,PANDABYTE,2,7.54,173042233,0.69,0.69,0.69
160,PANDABYTE,2,7.54,173097942,0.69,0.69,0.69
161,PANDABYTE,2,7.55,173489056,0.69,0.69,0.69
162,PANDABYTE,2,7.54,173795706,0.69,0.69,0.69
163,PANDABYTE,2,7.65,176708254,0.69,0.69,0.69
164,PANDABYTE,2,7.55,176946133,0.69,0.69,0.69
