epoch_id,validator_address,validator_name,voting_power,delegated_stake,applied_fee,effective_fee
5,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,0.45,5873354,0.0,0.0
6,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,0.68,9678117,0.0,0.0
7,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,1.23,18136904,0.0,0.0
8,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,1.63,25375968,0.0,0.0
9,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,2.04,33139601,0.0,0.0
10,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,2.78,45940350,0.0,0.0
11,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,2.91,48733415,0.0,0.0
12,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,3.24,54936625,0.0,0.0
13,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,3.71,63141154,0.0,0.0
14,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,3.84,66176610,0.0,0.0
15,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,3.96,70164042,0.0,0.0
16,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,4.03,71967034,0.0,0.0
17,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,3.92,74533804,0.0,0.0
18,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,3.96,75749091,0.0,0.0
19,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,3.99,77110708,0.0,0.0
20,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,4.1,79588045,0.0,0.0
21,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,4.37,85061076,0.9,0.9
22,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,4.41,86375903,0.9,0.9
23,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,4.49,88335114,0.9,0.9
24,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,4.51,88817375,0.9,0.9
